Source_A,Source_B
PAFAH1B1,MAP1B
XCL1,VCAN
MAPK14,NCOA3
ARHGEF1,CNKSR1
ARHGEF1,ARHGEF1
CCL20,VCAN
ATP2A2,ATP2A2
PAFAH1B1,TUBA1A
PAFAH1B1,MAP2
PRKCQ,IRS1
RFXAP,SMARCA4
TGFBR3,ARRB2
PLOD2,PLOD2
CCL8,VCAN
SATB1,SATB1
SEMA4D,SEMA4D
TGFBR3,ENG
CCL21,VCAN
ASAH1,SMPD1
SOD3,FBLN5
EPCAM,EPCAM
ADAMTS1,VCAN
ALDH3A1,ALDH3A1
PSEN1,PSEN1
SAA2,SAA2
APOC1,APOC1
AQP1,AQP1
ST6GAL1,ST6GAL1
CD79A,CD79A
C5AR1,C5AR1
CSNK2A1,CSNK2A1
CDKN1A,CDKN1A
COL10A1,COL10A1
COL12A1,COL12A1
COL13A1,COL13A1
MMP9,MMP9
CRYAB,CRYAB
EZR,EZR
CD55,CD55
NQO1,NQO1
RAB1A,CHML
EEF1D,EEF1D
FGF1,FGF1
NID1,NID1
NR2F6,NR2F6
STOM,STOM
RUNX1T1,RUNX1T1
EXT1,EXT1
RAB5A,CHML
FGA,FGA
FBLN1,FBLN1
GSR,GSR
CEBPG,CEBPG
GNAI3,GNAI3
HMOX1,HMOX1
HBB,HBB
HOXA10,HOXA10
FCER1A,FCER1A
INHBA,INHBA
MX2,MX2
BCR,BCR
MDH2,MDH2
MAP2,MAP2
REL,REL
NOTCH4,NOTCH4
JUNB,JUNB
SKIL,SKIL
PLA2G2A,PLA2G2A
PKD2,PKD2
RCC1,RCC1
DPEP1,DPEP1
RPA1,RPA1
RPA3,RPA3
RRM1,RRM1
RYR1,RYR1
CCL4,CCL4
SRI,SRI
THBS3,THBS3
TBXA2R,TBXA2R
THY1,THY1
TFCP2,TFCP2
ERBB3,ERBB3
TGFBR2,TGFBR2
TGFB2,TGFB2
TPM3,TPM3
TNFAIP1,TNFAIP1
CDH1,CDH1
ITGA4,ITGA4
AGA,AGA
FBP1,FBP1
NCF1,NCF1
GLDC,GLDC
LTC4S,LTC4S
MUT,MUT
GLUD2,GLUD2
SLC9A7,SLC9A7
SH3KBP1,SH3KBP1
WAS,WAS
SAT1,SAT1
TNS1,TNS1
PDE4A,PDE4A
PDE4D,PDE4D
LCN2,LCN2
SS18,SS18
CENPF,CENPF
XCL1,XCL1
COIL,COIL
ID2,ID2
FAP,FAP
SUB1,SUB1
RECQL,RECQL
CLCN3,CLCN3
LGALS3BP,LGALS3BP
MEF2A,MEF2A
SHH,SHH
SELPLG,SELPLG
FXR1,FXR1
RORA,RORA
FGF9,FGF9
LTB,LTB
SLA,SLA
CAPRIN1,CAPRIN1
CASR,CASR
SIX1,SIX1
PCBP2,PCBP2
FCN1,FCN1
SNX1,SNX1
LIMK1,LIMK1
RFX3,RFX3
CDH13,CDH13
VEGFB,VEGFB
MYBL2,MYBL2
CHI3L1,CHI3L1
VEGFC,VEGFC
PAFAH1B1,PAFAH1B1
SMARCB1,SMARCB1
TBX3,TBX3
NSF,NSF
ALCAM,ALCAM
VASP,VASP
STAU1,STAU1
KCNK1,KCNK1
VDR,VDR
BID,BID
PHYH,PHYH
NRP1,NRP1
DAP3,DAP3
CLDN5,CLDN5
NDN,NDN
RGS3,RGS3
RANGAP1,RANGAP1
NPTX1,NPTX1
SULT1C2,SULT1C2
GCHFR,GCHFR
CTBP2,CTBP2
PDE2A,PDE2A
CASP4,CASP4
TSC22D3,TSC22D3
BCAS1,BCAS1
CDH6,CDH6
SPAG4,SPAG4
HNRNPL,HNRNPL
SLC31A1,SLC31A1
BNIP3,BNIP3
CDK6,CDK6
AP1G1,AP1G1
TRPC6,TRPC6
HIC1,HIC1
ERN1,ERN1
UTS2,UTS2
SIGLEC5,SIGLEC5
TRIP13,TRIP13
KIF2C,KIF2C
HPSE,HPSE
STK17A,STK17A
STK17B,STK17B
TFEC,TFEC
PRDX3,PRDX3
MAFF,MAFF
DGAT1,DGAT1
MKNK2,MKNK2
FHL5,FHL5
TLE4,TLE4
GDF15,GDF15
APPBP2,APPBP2
TAX1BP1,TAX1BP1
RETN,RETN
UBE2C,UBE2C
CADM1,CADM1
NUP62,NUP62
IKZF3,IKZF3
IKZF2,IKZF2
IKZF5,IKZF5
IKZF4,IKZF4
PRDX4,PRDX4
TKT,TKT
SPIB,SPIB
FHOD1,FHOD1
SCAMP1,SCAMP1
RASSF5,RASSF5
KIRREL,KIRREL
FGFBP1,FGFBP1
G3BP1,G3BP1
PSTPIP2,PSTPIP2
SLC12A2,SLC12A2
CDT1,CDT1
LYPLA1,LYPLA1
AKR1C1,AKR1C1
RFWD2,RFWD2
ENPEP,ENPEP
KCNJ5,KCNJ5
ICOS,ICOS
SOX13,SOX13
PPP2R3A,PPP2R3A
ITGB3BP,ITGB3BP
VAPA,VAPA
VAPB,VAPB
ARHGEF11,ARHGEF11
FGL1,FGL1
SNX2,SNX2
ATXN1,SMARCC2
SEMA4A,SEMA4A
ARSA,ARSA
DCTD,DCTD
SYNE1,SYNE1
ATXN1,SREBF1
TIFA,TIFA
CREB5,CREB5
ZHX3,ZHX3
TRPM7,TRPM7
DZIP3,DZIP3
C1QTNF5,C1QTNF5
EIF2AK1,EIF2AK1
PRPF6,PRPF6
MTUS1,MTUS1
TESC,TESC
TPM2,TPM2
GPX2,GPX2
IGHD,IGHD
PLXNA1,PLXNA1
ADSSL1,ADSSL1
ATXN1,TRIP6
EBPL,EBPL
GMPPA,GMPPA
KLHL20,KLHL20
PYCRL,PYCRL
ATXN1,UBE2I
SCARF2,SCARF2
PPP1R9A,PPP1R9A
PLAGL1,PLAGL1
ENTPD5,ENTPD5
HAVCR2,HAVCR2
ATXN1,VSNL1
TRAM2,TRAM2
DNTTIP1,DNTTIP1
DTX3,DTX3
FEM1B,FEM1B
CCDC91,CCDC91
NADK,NADK
MUC20,MUC20
NLK,NLK
PCBD2,PCBD2
ATXN1,ZYX
TPPP,TPPP
EPCAM,CLDN7
CHEK2,MDM4
ATM,MDM4
MAPK1,SLC9A1
MAPK1,GRB10
EPHA3,ADAM10
MFAP5,MEGF6
SIGLEC1,MUC1
HNRNPA1,PABPN1
PCCB,PCCB
ANK3,PIK3R1
PCCB,PCCA
ANK3,HOOK1
AGL,PRKAB1
CDK1,RCC1
EFEMP1,TIMP3
NCF2,S100A8
LPL,LPL
DFFB,DFFB
ATXN1,FAT4
RELN,RELN
LPL,CALR
FXYD1,DMPK
MAPK14,EEA1
GATM,GATM
PTPRS,PTPRE
PTPRS,PTPRM
CASP1,AR
CASP1,ATN1
NPTX1,RCN2
LRP2,LCN2
CCNG1,PPP2CA
CDK2,SMAD3
CDK4,SMAD3
MAPK1,GAB1
DNM2,PTK2
DNM2,SNX9
PTPRD,PTPRE
PTPRD,PTPRF
GSS,GSS
TNXB,VEGFB
TNXB,VEGFA
CD6,ALCAM
TLR1,TLR5
ATXN1,KLF11
SQSTM1,KCNAB2
TUB,GNAQ
CD3D,AP2M1
MMRN1,F5
ARID4A,SIN3A
ABL1,WASL
RXRB,TACC2
RNASEL,AR
TLR2,HMGB1
PRKCD,SDC4
FKBP3,CSNK2A1
ATXN1,KCNAB2
HMMR,CD44
PTX3,FGF2
HMMR,TPX2
PTK7,PTK7
DNMT3B,SMARCA5
TBXA2R,RAB11A
CFH,THBS1
MYO9B,ARFGEF1
CHD4,SMARCA4
THY1,ITGAV
CHD4,HDAC1
OASL,MBD1
MAPK6,XPO1
ZNF148,STAT3
ANGPT1,ITGA5
CDK1,TK1
PLK3,MAP2K1
PLK3,MAPK1
FBN1,HSPG2
MAP3K7,HIPK2
NFYB,C1QBP
MAP3K7,IL17RD
NOTCH4,SMAD3
NOTCH4,SMAD4
NOTCH4,SMAD2
NOV,GJA1
ERG,JUN
GTF2I,SMAD2
SEMA3C,NRP1
SEMA3C,NRP2
SNCAIP,SIAH1
CASP4,IL18
IKBKB,HSP90AA1
CASP4,PLA2G4A
NFKBIE,REL
RELA,NFKBIA
NFKBIA,PTPN13
SCNN1B,ANK3
SCNN1B,NFASC
NFATC3,TTF1
IKBKB,NFKBIA
SF3A2,SF3A1
RGS4,CALM1
RELA,NFKB2
RELB,NFKB2
NFKBIE,NFKB2
TRAF1,TNFRSF1B
UGP2,UGP2
MAP3K14,MAP3K14
TRAF3,MAP3K14
PAICS,PAICS
KCTD5,KCTD5
GORASP2,KCTD5
MAGOHB,RBM8A
TBK1,TANK
IKBKB,IKBKB
MAP3K14,IKBKB
CDC37,IKBKB
SIRPB1,SIRPB1
KLF6,TP53
PRKAB1,PRKAA2
ITGA9,SAT1
DUSP4,MAPK8
DUSP4,MAPK9
DUSP7,MAPK14
DUSP7,MAPK8
RECQL,RPA1
MMP9,COL4A3
EPHB6,CRK
CD93,COL4A3
GOSR2,ARF1
AKAP13,YWHAB
AKAP13,YWHAE
AKAP13,YWHAZ
DCN,COL4A3
TRIP11,ARNT
WASF3,PIK3R2
WASF3,PIK3R1
FN1,COL4A3
ALDH2,C14orf1
FBLN2,COL4A3
ACTN1,XRCC4
ZFHX3,NINL
MFAP2,COL4A3
AGT,EWSR1
ANXA3,TP53
OSM,COL4A3
ANXA3,UBR1
AQP1,TRIP6
AQP1,EFEMP2
AQP1,CCDC85B
SERPINE2,COL4A3
ARRB1,ZBTB43
ATP5C1,PTN
ATP5C1,MPP1
ATP5C1,PNO1
BSG,PDLIM7
TGFBI,COL4A3
TFF1,UBQLN1
CAPNS1,CDK4
CPE,RPA1
CEACAM5,EWSR1
CSNK2A1,ZHX1
COMT,TRIP13
CDKN1A,CCND2
CDKN1A,CCDC85B
CKS2,EEF1A1
HABP2,COL4A3
MCM2,GNB5
CDC42,TP53
CDC42,C14orf1
CDC42,CDC42EP1
CDC42,UBR1
COL4A3BP,COL4A3
CETP,EWSR1
COL8A1,EFEMP2
COL8A1,KLHL12
ANTXR2,COL4A3
CKB,ASB9
CKB,SERP2
CREB1,VIM
CDK4,VTA1
CCND3,EFEMP2
CCND3,DTNBP1
PPIA,PRSS23
ATXN1,ATP6V0D1
PCBD1,GORASP2
PCBD1,LNX1
DDIT3,CEBPG
DDIT3,BATF
DDIT3,SPOP
DDIT3,HSD17B14
COL4A2,COL4A2
EEF1A1,FAS
EEF1A1,TTR
EEF1A1,PFN2
EEF1A1,ZNF24
COL4A1,COL4A2
EEF1A1,LAMA4
EEF1A1,HSPE1
EEF1A1,RFC5
EEF1A1,SSR1
EEF1A1,SERPINB9
EEF1A1,ITSN1
EEF1A1,TGIF1
EEF1A1,PAFAH1B3
MMP9,COL4A2
EEF1A1,CCL18
EEF1A1,EIF3F
EEF1A1,PSMD11
EEF1A1,UBQLN4
EEF1A1,TMPRSS3
CD93,COL4A2
EEF1A1,PAPSS1
EEF1A1,ARIH2
EEF1A1,TP53BP2
EEF1A1,BTBD2
EEF1A1,MRPL42
EEF1A1,POLR2C
EEF1A1,TRDMT1
EEF1A1,POLE2
EEF1A1,DLEU1
EEF1A1,RSRC1
FN1,COL4A2
EEF1D,ASCC2
EMILIN1,NMI
EMILIN1,MTMR9
ENO2,TUBA4A
RUNX1T1,TAF9B
FBLN2,COL4A2
RUNX1T1,WBP11
EWSR1,SLC1A1
EWSR1,CD177
EWSR1,PDHX
OSM,COL4A2
EWSR1,FASN
EWSR1,HMGA1
EWSR1,ZNF165
EWSR1,SMAD4
EWSR1,MYO1F
EWSR1,DFFA
EWSR1,SALL2
SERPINE2,COL4A2
EWSR1,WWP1
EWSR1,WWP2
EWSR1,MSC
EWSR1,RPS15A
EWSR1,ACTL6A
EWSR1,CPSF6
BGN,COL4A2
EWSR1,DYNLL2
EWSR1,RAB37
EWSR1,RAD23A
EWSR1,SUV39H2
TGFBI,COL4A2
EWSR1,CNST
EWSR1,PLSCR1
EWSR1,MTMR9
EWSR1,SSBP2
EWSR1,KCNMB1
EWSR1,NBPF3
EWSR1,MNS1
EWSR1,KRR1
EWSR1,NINL
EWSR1,CXADR
EWSR1,RBPMS
HABP2,COL4A2
EWSR1,C11orf16
EWSR1,MAPK1IP1L
EWSR1,PRUNE2
ANTXR2,COL4A2
EWSR1,RASL11B
EWSR1,TSPAN3
EWSR1,ZDHHC3
ATXN1,NUMBL
EWSR1,CFDP1
EWSR1,SERP2
EWSR1,CCDC91
EWSR1,PRTFDC1
EWSR1,RPL31
FOSL1,LDOC1
FOSL1,CALCOCO1
GLUL,GLUL
GLUL,PLEKHF2
GSTM4,TP53
GSTM4,TLE1
ATXN1,NCOR1
GPD1,PTN
CEBPG,MLLT6
P4HB,COL10A1
GNAI2,PLSCR1
COL4A1,COL7A1
COL1A1,COL7A1
MMP2,COL7A1
HOXB6,KRT15
HOXB6,SAT1
HOXB6,PLSCR1
HOXB9,SAT1
HOXB9,RBPMS
FN1,COL7A1
IGHM,CEP72
IFIT2,IFIT3
ITPKB,PSME3
ISG15,USP18
IFIT1,IFIT3
KRT19,KRT15
KRT19,KRT6B
KRT19,PCM1
LAMC2,COL7A1
KRT19,FANCG
KRT19,ABI2
KRT19,FAM107A
KRT19,SFI1
KRT19,ZNF638
KRT19,C10orf10
LAMB3,COL7A1
KRT15,KRT6B
KRT15,KRT18
KRT15,LDOC1
KRT15,PCM1
KRT15,SMARCD1
KRT15,KRT81
KRT15,ABLIM1
KRT15,USP2
KRT15,ABI2
KRT15,RCOR3
THBS1,COL7A1
KRT15,FAM107A
KRT15,TUBGCP4
KRT15,KIAA1217
KRT15,RIBC2
LAMA5,COL7A1
KRT15,ZNF638
KRT15,ARC
KRT15,C10orf10
KRT15,CALCOCO1
KRT15,AMOTL2
ATXN1,DZIP3
KRT15,LNX1
KRT15,WAC
COL4A1,COL4A1
KRT17,CCDC85B
KRT18,LDOC1
KRT18,TUBGCP4
KRT18,NME7
KRT18,CCDC85B
BCR,TP53
MMP9,COL4A1
MIF,GORASP2
MAX,PLEKHF2
NME1,NME4
NME1,GORASP2
NME1,POLR1C
CD93,COL4A1
MCM7,RBM8A
MCM7,MBIP
MLLT3,MCM6
MLLT3,APPBP2
HNRNPM,LMO3
NQO2,GORASP2
DCN,COL4A1
PTN,SAT1
PTN,LAMA4
PTN,SSR1
PTN,PTPRS
PTN,EIF3F
PTN,PSMD11
PTN,UBQLN4
FN1,COL4A1
PTN,P4HB
PTN,SLC25A36
PTN,PPP2CA
PTN,ARIH2
PTN,TP53BP2
PTN,CAPZB
FBLN2,COL4A1
PTN,CCDC53
PTN,SGSM2
PTN,TXNDC9
PTN,BCCIP
PTN,GIPC2
PTN,LUC7L2
PTN,UTP3
OSM,COL4A1
HNRNPC,HNRNPC
HNRNPC,PHKB
HNRNPC,KRAS
HNRNPC,KPNA3
HNRNPC,RBM41
SERPINE2,COL4A1
HNRNPC,UBE2I
HNRNPC,LMO3
HNRNPC,CCDC85B
PNP,TP53
PNP,ZHX1
TGFBI,COL4A1
CRK,PLSCR1
JUNB,NINL
SPP1,PDLIM7
NBR1,VTA1
PEX2,TLE1
PEX2,C14orf1
HABP2,COL4A1
PAICS,CEP76
PAICS,LNX1
ATXN1,PUM1
TTR,VIM
PFN2,TERF1
PFN2,RPS10
MMP9,COL4A4
CD93,COL4A4
UBE2B,UBR1
RAD51,VIM
DCN,COL4A4
RPA1,SELENBP1
RPA1,AKTIP
RPA1,ASCC2
FN1,COL4A4
RXRA,UBQLN4
RXRA,TMPRSS3
FBLN2,COL4A4
RXRB,SPOP
LMO2,STAT1
LMO2,EHMT2
LMO2,DAZAP2
LMO2,MAPRE2
OSM,COL4A4
RPE,RPE
SERPINE2,COL4A4
TGFBI,COL4A4
SRI,CALCOCO2
TCL1A,CALCOCO2
TCL1A,HIST3H2A
TK1,TP53
TK1,TLE1
TK1,C14orf1
PRKAR1A,PYCARD
PRKAR1A,PLEKHF2
HABP2,COL4A4
NFYA,APPBP2
ZFP36,CCDC85B
TNNT1,NINL
ANTXR2,COL4A4
TNNT1,PPFIA1
TNNT1,PLEKHF1
TNNT1,CCDC85B
TP53,ZNF24
TP53,SAT1
TP53,LAMA4
TP53,SERPINB9
TP53,PAFAH1B3
TP53,CDKN2C
TP53,CCL18
TP53,PSMD11
TP53,CCT5
TP53,HSPB1
TP53,ARIH2
TP53,FXYD6
TP53,BTBD2
TP53,DLEU1
U2AF2,SRPK2
U2AF2,CHIC2
U2AF2,BEND7
U2AF2,THAP1
U2AF2,KIAA0907
VIM,MAN2A2
VIM,ABLIM1
VIM,HMG20B
VIM,GOPC
VIM,ATN1
VIM,PDLIM1
VIM,SERBP1
VIM,FAM107A
VIM,FUBP1
VIM,TUBGCP4
VIM,SRRT
VIM,RIBC2
VIM,APIP
VIM,MRPL44
VIM,BHLHE40
VCL,TRIP6
VCL,ABI2
ATXN1,TBC1D5
ZNF24,C14orf1
ZNF24,ZBTB16
ZNF24,SCAND1
FBP1,ASCC2
FBP1,LNX1
CBS,VTA1
ASPA,ASPA
XIAP,DYNLL2
NONO,NONO
NONO,MAD1L1
NONO,PLEKHF2
ZBED1,FANCG
ZBED1,UBE2I
ZBED1,SORBS3
ZBED1,NIP7
ZBED1,GPSM1
RAI2,CTBP2
RAI2,SGTB
DYNLT3,DYNLT3
DYNLT3,DYNC1I2
DYNLT3,TESC
CTPS2,CTPS2
CTPS2,SPG21
LDOC1,SMARCD1
LDOC1,ABLIM1
LDOC1,NRIP1
LDOC1,IKZF5
LDOC1,GNL3L
LDOC1,FAM193B
LDOC1,FAM107A
LDOC1,ZBTB16
ATXN1,DAZAP2
LDOC1,CCDC85B
LDOC1,LNX1
XAGE2,EHMT2
ATXN1,TOX4
MMP2,COL1A1
MMP9,COL1A1
CD93,COL1A1
MPP1,SGSM2
MPP1,AMOTL2
HPRT1,PRTFDC1
DCN,COL1A1
PRPS1,PRPS1
PRPS1,GORASP2
PRPS1,SPG21
SAT1,HSPE1
SAT1,TLE1
SAT1,EPHB6
NID1,COL1A1
SAT1,C14orf1
SAT1,RBM17
SAT1,ZHX1
FN1,COL1A1
SAT1,TCF25
SAT1,LNX1
ITGA5,COL1A1
CD99,UBQLN1
SLC35A2,PLSCR1
LAMA4,UBR1
LAMA4,ZHX1
IGFBP3,COL1A1
LAMA4,BRD7
HSPE1,TLE1
HSPE1,C14orf1
HSPE1,ZHX1
TLE1,SERPINB9
TLE1,PAFAH1B3
TLE1,CDKN2C
TLE1,CCL18
TLE1,PSMD11
CD36,COL1A1
TLE1,ATN1
TLE1,HLA-DQA1
TLE1,FXYD6
TLE1,FUBP1
TLE1,BTBD2
SPARC,COL1A1
TLE1,POLE2
EPS8,PCM1
EPS8,HOOK2
EPS8,CCDC85B
TXN,COL1A1
MAPK14,ZFP36L1
PCM1,ABI2
PCM1,CEP72
PCM1,KIAA0368
PCM1,CCDC53
PCM1,ING5
THBS1,COL1A1
CSTF2,C14orf1
CSTF2,UBQLN1
PDGFB,COL1A1
CSTF2,FEZ1
DDR2,COL1A1
FEN1,ARHGDIA
ITGA2,COL1A1
VWF,COL1A1
MEOX2,RND2
SHC1,CALCOCO2
BGN,COL1A1
TGFBI,COL1A1
PRELP,COL1A1
PTK2,SOCS2
PTK2,ATG12
TCEB3,NINL
FXR1,C14orf1
FXR1,PRSS23
PAK1,COL1A1
FXR1,LUC7L2
ZNF165,FAM124A
ZNF165,PDLIM7
P4HB,COL1A1
ZNF165,SCAND1
ZNF165,CCDC85B
RGS2,NINL
RTN1,PLEKHF2
ATXN1,UBAP2L
TERF1,ZHX1
SMAD4,SMAD9
COL5A3,COL1A2
AP2M1,IKZF1
AP2M1,TBC1D5
AP2M1,MED4
MMP9,COL1A2
AP2B1,ATP6V1G1
AP2B1,TUBGCP4
AP2B1,RIBC2
AP2B1,FAM46C
AP2B1,THAP1
CD93,COL1A2
DCN,COL1A2
PDCD6,PDCD6
PDCD6,HEBP2
PDCD6,MAPK1IP1L
HSPA13,UBQLN1
HK2,UBQLN1
FN1,COL1A2
SIX1,CCDC85B
NACA,ZHX1
SFN,CHST1
CD36,COL1A2
SFN,PLK4
SFN,GPRIN2
SFN,PLEKHF2
SFN,FAM189A2
HCLS1,SH2D4A
SPARC,COL1A2
DVL3,TNFAIP8L1
DVL3,KLHL12
ITGA2,COL1A2
DVL3,LNX1
DR1,POLE3
VWF,COL1A2
SQSTM1,RAD23A
BGN,COL1A2
SQSTM1,GABARAPL1
SQSTM1,MAP1LC3B
SQSTM1,GABARAPL2
EZH2,CCDC85B
LUM,COL1A2
PTPRS,UBR1
NSF,C14orf1
NSF,LUC7L2
PSMD4,RASSF8
TGFBI,COL1A2
VASP,WWP2
VASP,NOL3
VASP,PLSCR1
TEAD4,WWTR1
TEAD4,CCDC85B
SMARCC2,POLR2C
SMARCD1,CALCOCO2
SMARCD1,CCDC85B
TRIM23,GGA2
TRIM23,RIBC2
TRIM23,GEM
P4HB,COL1A2
TRIM23,LNX1
TRIM23,FLAD1
SERPINB9,C14orf1
SERPINB9,UBR1
SERPINB9,ZHX1
SERPINB9,PRPF40A
SERPINB9,BRD7
MCM6,ING5
NME4,TRIP13
SPARC,COL3A1
THBS1,COL3A1
DDR2,COL3A1
EML1,ISG20L2
GAK,USO1
KLF6,EHMT2
SATB1,UBE2I
PLK1,DNAJB9
COL5A3,COL5A1
SDC3,COL5A1
THBS1,COL5A1
SIAH1,AFF4
LGALS3BP,COL5A1
SALL2,CEP76
SALL2,ZMIZ2
LAMB1,COL6A1
LGALS3BP,COL6A1
WWP1,CPSF6
WWP1,DAZAP2
WWP1,ZNF638
WWP2,CPSF6
WWP2,PDLIM7
MMP2,COL6A3
ABLIM1,GOLGA2
ABLIM1,CALCOCO2
ABLIM1,HOOK2
OPTN,CCDC53
ITGA1,COL8A1
SIRPA,NOL3
SIRPA,TRIM2
ITGA2,COL8A1
COL8A2,COL8A1
SPRY2,PLSCR1
SPRY2,GPRIN2
SPRY2,ADAMTSL4
NRIP1,CTBP2
NRIP1,CCDC85B
NRIP1,CEP70
SNAP23,NAPA
SNAP23,ABI2
GOLGA2,TRIM29
GOLGA2,TUBGCP4
CTBP2,TGIF1
CTBP2,TEAD3
CTBP2,AKTIP
DCN,COL14A1
MAD1L1,TRIM29
MMP2,COL18A1
MAD1L1,TUBGCP4
MAD1L1,NINL
MAD1L1,AMOTL2
ITGA5,COL18A1
FBLN2,COL18A1
MAPK9,SF3B4
KDR,COL18A1
PLK3,TRIP13
GPC4,COL18A1
TRIP6,ILF3
TRIP6,FAM124B
TRIP6,FAM46C
TRIP6,KIAA1683
TRIP6,PPP1R16A
GPC1,COL18A1
FANCG,SAMD3
FANCG,GABPB1
NID1,COL13A1
TSC22D3,PLEKHF2
UBE2D1,RNF126
UBE2D3,RNF126
MLX,GABARAPL2
FN1,COL13A1
MRPS12,C14orf1
IKZF1,UBE2I
IL16,EFEMP2
HSPG2,COL13A1
SPARC,COL13A1
PAFAH1B3,C14orf1
PAFAH1B3,ZHX1
PAFAH1B3,ZBTB16
PAFAH1B3,BRD7
ITGA1,COL13A1
PAFAH1B3,LNX1
TEAD3,WWTR1
ILF3,PLSCR1
NID2,COL13A1
MMP1,IGFBP3
FZD7,UBQLN1
AKR7A2,AKR7A3
PDLIM4,RBPMS
PRKRA,PRKRA
RIPK2,UBE2I
MMP1,CCL2
ASS1,ASS1
ASS1,ASCC2
RCBTB2,RCBTB2
NMI,HHLA3
MMP7,MMP1
USP13,FNBP1L
MMP14,SDC1
STC2,POLR2C
UBE2L3,ARIH2
ITGA2,MMP1
GSTZ1,GSTZ1
DYNC1I1,DYNLL2
TIMP1,MMP1
BAG3,DAZAP2
BAG3,FAM189A2
EIF3H,CCDC85B
MMP1,CCL13
SELENBP1,TRIP13
SIGLEC5,TRIP13
APPL1,APPL2
PSMD11,ZHX1
PSMD11,ZBTB16
PSMD11,BRD7
CBX5,PRR14
CBLB,GORASP2
CBLB,CRY1
CBLB,SORBS3
TRIP10,WBP11
TRIP13,ADAM15
TRIP13,PLAC8
TRIP13,SMUG1
TRIP13,CYB5R2
MMP2,FGFR1
TRIP13,PLSCR4
TRIP13,SEC24A
TRIP13,PPP2CA
TRIP13,LOXL4
TRIP13,SEMA4G
MMP2,IGFBP3
TRIP13,ZNF655
TRIP13,RBPMS
TRIP13,HDHD3
TRIP13,GPRIN2
TRIP13,PBLD
MMP2,IL1B
TRIP13,STAMBPL1
TRIP13,GPSM1
TRIP13,LNX1
TRIP13,C11orf54
C14orf1,LSM2
C14orf1,CDK5RAP2
C14orf1,HNRNPUL1
C14orf1,POLR2C
C14orf1,POLE2
EFEMP2,UBQLN1
EFEMP2,HHEX
EFEMP2,PLSCR4
EFEMP2,FAM124B
EFEMP2,PLSCR1
EFEMP2,FAM107A
THBS1,MMP2
EFEMP2,GLRX3
EFEMP2,RIBC2
EFEMP2,ZNF638
EFEMP2,ZNF426
EFEMP2,SGTB
THBS2,MMP2
IFIT3,IFIT3
HEY2,PLSCR1
COL4A3BP,COL4A3BP
COL4A3BP,ITGB3BP
TIMP2,MMP2
SH2D3C,EFS
USP2,BEND5
USP2,HOOK2
USP2,CCDC85B
TIMP3,MMP2
NEK6,CCDC85B
TGFB1,MMP2
ITGAV,MMP2
LCN2,MMP2
PACSIN2,PACSIN2
NUDT21,NUDT21
CPSF6,GIN1
CPSF6,PLSCR1
MMP14,MMP2
CPSF6,KLHL12
UBQLN1,UBQLN1
UBQLN1,CSTF2T
UBQLN1,IGLC1
CXCL12,MMP2
UBQLN1,PLA2G16
UBQLN1,TMCO6
YWHAE,SORBS2
YWHAE,GPRIN2
TARDBP,ZHX1
CYTH3,CNKSR1
CYTH3,CALCOCO1
PSME3,PSME3
PSME3,BBS2
PSME3,ZCCHC10
CLDN1,MMP2
PITPNC1,AGTRAP
NOL3,NOL3
APPBP2,WNT5B
MMP25,MMP2
APPBP2,PCSK5
APPBP2,SYT11
APPBP2,MFSD3
MMP2,PZP
APPBP2,CHMP5
EPB41L3,MBIP
PHLDA1,PLSCR1
BACE1,MMP2
SPOCK1,MMP2
FN1,MMP9
LPXN,IMP3
LPXN,ZNF426
HMG20B,CCDC85B
NUP62,GORASP2
MMP9,CXCL1
NUP62,CCDC53
NUP62,THAP1
IKZF3,UBE2I
IKZF5,CCDC85B
STAM2,DAZAP2
STAM2,L3MBTL2
TOLLIP,DAZAP2
TOLLIP,RBPMS
FBXW7,SHPRH
MMP7,MMP9
THBS1,MMP9
THBS2,MMP9
SEC24D,SEC23B
TIMP3,MMP9
LSM2,RSRC1
LSM4,CALCOCO2
KLF12,EHMT2
NDEL1,MBIP
SMUG1,RBPMS
COL4A5,MMP9
HSPB8,HSPB7
ARHGAP9,RBPMS
ASB9,HIF1AN
LCN2,MMP9
BTC,MMP9
BEX2,CCDC85B
DYNLL2,HOMER3
DYNLL2,GPRIN2
DYNLL2,THAP10
RBM41,CCDC85B
YIPF6,YIPF2
UPRT,PYROXD1
RECK,MMP9
RAB22A,APPL2
SYTL4,CCDC85B
MMP9,PZP
MMP9,CXCL5
CSF1R,CSF1
CALCOCO2,CALCOCO2
CALCOCO2,FASTK
CALCOCO2,GABARAPL1
CALCOCO2,DAZAP2
CALCOCO2,LGALS8
CALCOCO2,FAM107A
CALCOCO2,ZNF451
SOCS1,CSF1
CALCOCO2,PCGF1
CALCOCO2,ZNF638
CALCOCO2,ZNF101
CALCOCO2,PTBP2
CALCOCO2,TP53RK
CALCOCO2,ZNF426
CALCOCO2,POLI
CALCOCO2,GABARAPL2
CALCOCO2,LNX1
CSF1,CSF1
EHMT2,LNX1
WDR6,CDC42EP4
WDR6,G2E3
PIAS2,NAV2
PCNA,MSH2
RASSF8,FRMD6
AKR7A3,AKR7A3
HOMER3,FRYL
MSH3,MSH2
BARD1,MSH2
CHEK2,MSH2
MSH6,MSH2
ATR,MSH2
CDC42EP1,PLSCR1
CDC42EP1,RBPMS
